portal_id,portal_name,portal_level,authority_name,covers_districts,website,has_online,classifier_dept_tags,complaint_categories,required_fields,helpline,whatsapp,fallback_portal_id
P001,CPGRAMS,Central,"DARPG, Government of India",ALL_INDIA,https://pgportal.gov.in,Yes,"ELECTRICITY|WATER_SUPPLY|HEALTH|EDUCATION_SCHOOL|EDUCATION_HIGHER|POLICE|REVENUE_LAND|PENSION_SOCIAL|FOOD_RATION|AGRICULTURE|LABOUR_EMPLOYMENT|WOMEN_CHILD|HOUSING_URBAN|BANKING|INCOME_TAX|RAILWAY|POSTAL|PASSPORT|AADHAAR|INSURANCE|CONSUMER_PROTECTION|TELECOM|SOCIAL_WELFARE_SCHEME|CORRUPTION|CYBER_CRIME|TRANSPORT_VEHICLE|SANITATION|SOLID_WASTE|ROADS|DRAINAGE|STREET_LIGHT|ENVIRONMENT_POLLUTION|FOREST_WILDLIFE|MINING|DEFENCE_PENSION|WELFARE_SC_ST|TRIBAL_RIGHTS|HUMAN_RIGHTS|REAL_ESTATE|GST|EPF_ESIC|ELECTION","Catch-all central government grievances","Full Name|Address with State District and Pincode|Mobile Number|Email Address|Aadhaar Number (optional)|Department concerned|Grievance description (max 4000 characters)|Supporting documents (PDF or JPG up to 4 MB)",1800-11-0180,,
P002,PMO Public Grievance,Central,Prime Minister's Office,ALL_INDIA,https://www.pmindia.gov.in/en/interact-with-honble-pm,Yes,"ELECTRICITY|WATER_SUPPLY|HEALTH|EDUCATION_SCHOOL|POLICE|REVENUE_LAND|PENSION_SOCIAL|FOOD_RATION|AGRICULTURE|WOMEN_CHILD|SOCIAL_WELFARE_SCHEME|CORRUPTION","Direct petition to PM — auto-routed to ministry","Full Name|Address|Mobile Number|Email Address|State|District|Subject (brief title)|Grievance description (max 4000 characters)",,, P001
P003,Income Tax e-Nivaran,Central,CBDT — Income Tax Department,ALL_INDIA,https://www.incometax.gov.in,Yes,INCOME_TAX,"Refund delay, TDS mismatch, wrong demand, ITR processing","PAN Number|Assessment Year|Grievance category|ITR Acknowledgement Number|Grievance description|Supporting documents",1800-103-0025,,P001
P004,GST Self-Service Grievance,Central,CBIC — GSTN,ALL_INDIA,https://selfservice.gstsystem.in,Yes,GST,"GST refund delay, filing error, registration pending, ITC denial","GSTIN|ARN (Application Reference Number)|Issue category|Detailed description|Screenshots or attachments",1800-103-4786,,P001
P005,EPFiGMS — EPFO Grievance,Central,Employees Provident Fund Organisation,ALL_INDIA,https://epfigms.gov.in,Yes,EPF_ESIC,"PF withdrawal delay, transfer, KYC mismatch, UAN activation","UAN (Universal Account Number)|PF Office name|Type of grievance|Grievance description|Mobile Number|Email Address",14470,,P001
P006,ESIC Grievance,Central,Employees State Insurance Corporation,ALL_INDIA,https://www.esic.gov.in,Yes,EPF_ESIC,"Medical card issue, cashless denial, maternity benefit, disability benefit","Insurance Number|Establishment code|Branch office name|Issue type|Grievance description",1800-11-2526,,P001
P007,RailMadad,Central,Ministry of Railways — Indian Railways,ALL_INDIA,https://railmadad.indianrailways.gov.in,Yes,RAILWAY,"Cleanliness, catering, refund, security, staff behaviour, medical emergency","PNR Number|Train Number|Date of journey|Coach number|Berth number|Complaint type|Grievance description|Mobile Number",139,,P001
P008,IRCTC Customer Grievance,Central,Indian Railway Catering and Tourism Corporation,ALL_INDIA,https://contactus.irctc.co.in,Yes,RAILWAY,"Online booking failure, Tatkal failure, TDR refund, e-catering","PNR Number|Transaction ID|IRCTC User ID|Mobile Number|Issue type|Grievance description",14646,,P007
P009,India Post Grievance,Central,Department of Posts — Ministry of Communications,ALL_INDIA,https://www.indiapost.gov.in/VAS/Pages/ComplaintRegistration.aspx,Yes,POSTAL,"Speed Post delay, lost parcel, Money Order non-delivery, PPF, PLI","Article or Consignment Number|Date of booking|Name of booking Post Office|Complainant Full Name|Mobile Number|Delivery address",1924,,P001
P010,Passport Seva Grievance,Central,Ministry of External Affairs,ALL_INDIA,https://www.passportindia.gov.in,Yes,PASSPORT,"Fresh issue delay, re-issue, police verification pending, refund","File Number|ARN (Application Reference Number)|Mobile Number|Email Address|Issue type|Grievance description",1800-258-1800,,P001
P011,UIDAI Aadhaar Grievance,Central,Unique Identification Authority of India,ALL_INDIA,https://uidai.gov.in,Yes,AADHAAR,"Name or address update failure, biometric, mobile linking, PVC card delivery","Aadhaar Number (last 4 digits only)|Mobile Number|Email Address|Issue category|Grievance description|Pincode",1947,,P001
P012,DigiLocker Grievance,Central,MeitY — National e-Governance Division,ALL_INDIA,https://digilocker.gov.in,Yes,AADHAAR,"Document fetch failure, Aadhaar linking, marksheet pull, ABHA health ID","DigiLocker Username|Aadhaar last 4 digits|Mobile Number|Issue type|Grievance description",,, P011
P013,SPARSH — Defence Pension Grievance,Central,Ministry of Defence — CGDA,ALL_INDIA,https://sparsh.defencepension.gov.in,Yes,DEFENCE_PENSION,"PPO correction, disability pension, family pension, arrears, migration issue","PPO Number|Service Number|Aadhaar Number|Mobile Number|Issue category|Grievance description",1800-180-5325,,P001
P014,PMFBY — Crop Insurance Grievance,Central,Department of Agriculture and Farmers Welfare,ALL_INDIA,https://pmfby.gov.in,Yes,AGRICULTURE,"Crop insurance claim delay, enrolment failure, premium dispute, damage assessment","Aadhaar Number|Bank Account Number|Survey Number (Khasra)|Crop name|Sowing date|Date of crop loss|Insurance company name|Mobile Number",14447,,P001
P015,PM-Kisan Helpline,Central,Department of Agriculture and Farmers Welfare,ALL_INDIA,https://pmkisan.gov.in,Yes,AGRICULTURE,"Installment not credited, land record mismatch, eKYC pending, Aadhaar-bank seeding","Aadhaar Number|PM-Kisan Registration Number|Bank Account Number|Mobile Number|Issue description",155261,,P001
P016,Ayushman Bharat PM-JAY Grievance,Central,National Health Authority,ALL_INDIA,https://cgrms.pmjay.gov.in,Yes,HEALTH,"Hospital denial, cashless package dispute, card issue, pre-authorization rejection","PM-JAY Beneficiary ID|Aadhaar Number|Hospital name|Date of admission|Treatment or procedure name|Grievance description|Mobile Number",14555,,P001
P017,National Cyber Crime Reporting Portal,Central,Ministry of Home Affairs — I4C,ALL_INDIA,https://cybercrime.gov.in,Yes,CYBER_CRIME,"UPI fraud, banking fraud, online job fraud, cyber-stalking, identity theft, phishing","Date and time of incident|Mode of fraud (UPI or Card or Email or Social Media)|Amount lost|Bank or Wallet name|Victim account number|Suspect details if known|Screenshots|Bank account statement|Mobile Number|Government ID proof",1930,,P001
P018,National Consumer Helpline,Central,Department of Consumer Affairs,ALL_INDIA,https://consumerhelpline.gov.in,Yes,CONSUMER_PROTECTION,"E-commerce refund, counterfeit product, warranty denial, service deficiency, billing","Full Name|Mobile Number|State|Sector (e-commerce or banking or telecom etc.)|Company name|Order or Transaction ID|Amount involved|Grievance description|Bills or screenshots",1915,8800001915,P001
P019,RBI CMS — Banking Ombudsman,Central,Reserve Bank of India,ALL_INDIA,https://cms.rbi.org.in,Yes,BANKING,"ATM or UPI failure, unauthorized debit, loan disbursement, KYC, NBFC complaint","Bank name|Branch name|Account Number|Date of transaction|Amount involved|Earlier complaint reference number|Bank reply received (if any)|Mobile Number|Email Address",14448,,P001
P020,SEBI SCORES — Securities Grievance,Central,Securities and Exchange Board of India,ALL_INDIA,https://scores.sebi.gov.in,Yes,BANKING,"Mutual fund delay, broker misconduct, IPO refund, demat account issue","PAN Number|Demat or Folio Number|Entity being complained against|Nature of complaint|Grievance description|Supporting documents",1800-22-7575,,P001
